id,key,no_ep
1,Rick Sanchez,51
2,Morty Smith,51
3,Summer Smith,42
4,Beth Smith,42
5,Jerry Smith,39
6,Abadango Cluster Princess,1
7,Abradolf Lincler,2
8,Adjudicator Rick,1
9,Agency Director,1
10,Alan Rails,1
11,Albert Einstein,1
12,Alexander,1
13,Alien Googah,1
14,Alien Morty,1
15,Alien Rick,1
16,Amish Cyborg,1
17,Annie,1
18,Antenna Morty,2
19,Antenna Rick,1
20,Ants in my Eyes Johnson,1
21,Aqua Morty,2
22,Aqua Rick,3
23,Arcade Alien,5
24,Armagheadon,1
25,Armothy,1
26,Arthricia,1
27,Artist Morty,2
28,Attila Starwar,3
29,Baby Legs,1
30,Baby Poopybutthole,1
31,Baby Wizard,1
32,Bearded Lady,1
33,Beebo,1
34,Benjamin,3
35,Bepisian,4
36,Beta-Seven,1
37,Beth Sanchez,1
38,Beth Smith,8
39,Beth Smith,1
40,Beth's Mytholog,1
41,Big Boobed Waitress,1
42,Big Head Morty,1
43,Big Morty,1
44,Body Guard Morty,1
45,Bill,1
46,Bill,1
47,Birdperson,7
48,Black Rick,2
49,Blamph,1
50,Blim Blam,1
51,Blue Diplomat,1
52,Blue Footprint Guy,1
53,Blue Shirt Morty,1
54,Bobby Moynihan,1
55,Boobloosian,2
56,Bootleg Portal Chemist Rick,1
57,Borpocian,1
58,Brad,4
59,Brad Anderson,1
60,Calypso,1
61,Campaign Manager Morty,1
62,Canklanker Thom,1
63,Centaur,1
64,Chris,1
65,Chris,1
66,Coach Feratu (Balik Alistane),1
67,Collector,1
68,Colossus,1
69,Commander Rick,1
70,Concerto,1
71,Conroy,1
72,Cool Rick,1
73,Cop Morty,1
74,Cop Rick,1
75,Courier Flap,1
76,Cousin Nicky,1
77,Cowboy Morty,1
78,Cowboy Rick,2
79,Crab Spider,1
80,Creepy Little Girl,1
81,Crocubot,1
82,Cronenberg Rick,2
83,Cronenberg Morty,2
84,Cult Leader Morty,1
85,Cyclops Morty,2
86,Cyclops Rick,3
87,Cynthia,1
88,Cynthia,4
89,Dale,1
90,Daron Jefferson,1
91,David Letterman,1
92,Davin,2
93,Diablo Verde,1
94,Diane Sanchez,2
95,Dipper and Mabel Mortys,1
96,Tuberculosis,1
97,Gonorrhea,1
98,Hepatitis A,1
99,Hepatitis C,1
100,Bubonic Plague,1
101,E. Coli,1
102,Donna Gueterman,1
103,Doofus Rick,2
104,Doom-Nomitron,1
105,Dr. Glip-Glop,1
106,Dr. Schmidt,1
107,Dr. Wong,2
108,Dr. Xenon Bloom,1
109,Duck With Muscles,1
110,Eli,1
111,Eli's Girlfriend,1
112,Eric McMan,1
113,Eric Stoltz Mask Morty,1
114,Ethan,1
115,Ethan,2
116,Evil Beth Clone,1
117,Evil Jerry Clone,1
118,Evil Morty,3
119,Evil Rick,1
120,Evil Summer Clone,1
121,Eyehole Man,1
122,Fart,1
123,Fat Morty,1
124,Father Bob,2
125,Flansian,3
126,Fleeb,1
127,Frank Palicky,1
128,Frankenstein's Monster,1
129,Fulgora,3
130,Galactic Federation President,1
131,Gar Gloonch,3
132,Gar's Mytholog,1
133,Garblovian,3
134,Garmanarnar,1
135,Garment District Rick,1
136,Gazorpazorpfield,2
137,Gene,2
138,General Nathan,1
139,General Store Owner,1
140,Genital Washer,1
141,Ghost in a Jar,1
142,Gibble Snake,1
143,Glasses Morty,1
144,Glenn,1
145,Glenn,1
146,Glexo Slim Slom,1
147,Gobo,1
148,Goddess Beth,1
149,Gordon Lunas,1
150,Cornvelious Daniel,1
151,Gwendolyn,1
152,Hammerhead Morty,2
153,Hamster In Butt,2
154,Hamurai,1
155,Harold,1
156,Hemorrhage,1
157,Hole in the Wall Where the Men Can See it All,1
158,Hookah Alien,1
159,Hunter,1
160,Hunter's Father,1
161,Hydrogen-F,1
162,Ice-T,1
163,Ideal Jerry,1
164,Insurance Rick,1
165,Investigator Rick,1
166,Invisi-trooper,1
167,Izzy,1
168,Jackie,1
169,Jacob,2
170,Jacqueline,1
171,Jaguar,1
172,Jamey,1
173,Jan-Michael Vincent,1
174,Jerry 5-126,1
175,Jerry Smith,7
176,Celebrity Jerry,1
177,Jerry Smith,1
178,Jerry's Mytholog,1
179,Jessica,3
180,Jessica,12
181,Jessica's Friend,8
182,Jim,1
183,Johnny Depp,1
184,Jon,1
185,Joseph Eli Lipkip,1
186,Joyce Smith,1
187,Juggling Rick,1
188,Karen Entity,1
189,Katarina,1
190,Keara,1
191,Kevin,1
192,King Flippy Nips,1
193,King Jellybean,1
194,Kozbian,1
195,Kristen Stewart,1
196,Krombopulos Michael,1
197,Kyle,1
198,Lady Katana,1
199,Larva Alien,3
200,Lawyer Morty,1
201,Leonard Smith,1
202,Lighthouse Keeper,1
203,Lil B,2
204,Lisa,1
205,Little Dipper,1
206,Lizard Morty,1
207,Loggins,3
208,Logic,1
209,Long Sleeved Morty,1
210,Lucy,1
211,Ma-Sha,1
212,Magma-Q,1
213,Magnesium-J,1
214,Man Painted Silver Who Makes Robot Noises,1
215,Maximums Rickimus,3
216,MC Haps,3
217,Mechanical Morty,1
218,Mechanical Rick,1
219,Mechanical Summer,1
220,Mega Fruit Farmer Rick,1
221,Melissa,1
222,Michael Denny and the Denny Singers,1
223,Michael Jenkins,1
224,Michael McLick,1
225,Michael Thompson,1
226,Million Ants,1
227,Mitch,1
228,Mohawk Guy,1
229,Morty Mart Manager Morty,1
230,Morty Jr.,1
231,Morty Rick,1
232,Morty Smith,1
233,Morty K-22,1
234,Morty Smith,1
235,Mortytown Loco,1
236,Mr. Beauregard,1
237,Mr. Benson,1
238,Mr. Booby Buyer,1
239,Mr. Goldenfold,4
240,Mr. Goldenfold,10
241,Mr. Marklovitz,2
242,Mr. Meeseeks,5
243,Mr. Needful,1
244,Mr. Poopybutthole,7
245,Mrs. Lipkip,1
246,Mrs. Pancakes,2
247,Amy Poopybutthole,1
248,Mrs. Refrigerator,1
249,Mrs. Sanchez,4
250,Mrs. Sullivan,1
251,Nancy,6
252,Noob-Noob,1
253,Numbericon,1
254,Octopus Man,1
255,Orthodox Jew,1
256,Pat Gueterman,1
257,Paul Fleishman,1
258,Pawnshop Clerk,1
259,Pencilvester,1
260,Phillip Jacobs,1
261,Photography Cyborg,1
262,Photography Raptor,1
263,Pibbles Bodyguard,1
264,Pichael Thompson,1
265,Pickle Rick,1
266,Piece of Toast,2
267,Plumber Rick,1
268,Poncho,1
269,Presidentress of The Mega Gargantuans,1
270,Prince Nebulon,1
271,Principal Vagina,3
272,Principal Vagina,6
273,Purge Planet Ruler,1
274,Quantum Rick,3
275,Randy Dicknose,1
276,Rat Boss,1
277,Real Fake Doors Salesman,1
278,Regional Manager Rick,1
279,Regular Legs,1
280,Reverse Giraffe,1
281,Reverse Rick Outrage,1
282,Revolio Clockberg Jr.,3
283,Rick D. Sanchez III,1
284,Rick Guilt Rick,1
285,Rick Prime,2
286,Rick D-99,1
287,Rick D716,1
288,Rick D716-B,1
289,Rick D716-C,1
